cotacao
0.855810
0.855870
0.855770
0.855770
0.855820
0.855810
0.855920
0.855860
0.855850
0.855850
0.855780
0.855810
0.855840
0.855970
0.855730
0.855660
0.855730
0.855730
0.855740
